npdes_id,frs_id,city,state,zip,watershed_huc12,latitude,longitude,facility_type,major_minor_facility,cso_outfall_count,median_household_income,poverty_rate,white_alone
PA0037711,110009161735,EVERETT,PA,15537,20503030504,40.01144,-78.37483,POTW,N,5,35388,19.4,95.8
PAG066130,110010995566,EXPORT,PA,15632,50200050701,40.418679,-79.630322,NON-POTW,N,5,44650,12.3,95.3
PA0027227,110010794391,FARRELL,PA,16121,50301020603,41.20089,-80.505349,POTW,M,4,30400,33.1,48.3
PA0020702,110010266489,FAYETTE CITY,PA,154380000,50200050802,40.103129,-79.842823,POTW,N,2,38125,16.3,96
PA0037044,110001117050,FORD CITY,PA,16226,50100061107,40.781175,-79.524767,POTW,M,3,37549,19.5,96.8
PA0026174,110000554098,FRANKLIN,PA,16323-1077,50100030907,41.37469,-79.81901,POTW,M,5,35000,10.8,96.4
PAG066131,110017793379,FREEDOM,PA,15042-1738,50301010309,40.686177,-80.25645,NON-POTW,N,3,46406,24.1,92.5
PA0024716,110010977997,FREELAND,PA,18224-1501,20401060302,41.027306,-75.893532,POTW,N,1,37973,18.9,90.1
PA0025755,110001063063,FREEPORT,PA,16229-1122,50100090304,40.67257,-79.68573,POTW,N,6,42250,12.1,96.7
PA0036820,110010975034,GALETON,PA,16922,20502050204,41.7364,-77.6341,POTW,N,4,35208,22.2,99.4
PA0028673,110010261554,GALLITZIN,PA,16641,20502010301,40.488958,-78.565295,POTW,N,6,44063,20.6,99.6
PA0039489,110028174268,GARRETT,PA,15542,50200060704,39.864247,-79.064193,POTW,N,2,43750,24.8,97.5
PA0021113,110006646521,GLASSPORT,PA,15045,50200050807,40.32767,-79.8925,POTW,M,5,40823,20.2,90.7
PA0027456,110000539668,GREENSBURG,PA,15601-2225,50200061101,40.268681,-79.557818,POTW,M,40,42058,18.8,90.3
PA0027197,110000532709,HARRISBURG,PA,17104-3145,20503051011,40.239078,-76.856111,POTW,M,60,39685,26.2,34.9
